Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2010/2011,Primar Unterstufe,Dozwil PSG,männlich,Schweiz,4
2010/2011,Primar Unterstufe,Dozwil PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Dozwil PSG,weiblich,Schweiz,12
2010/2011,Primar Unterstufe,Egnach VSG,männlich,Ausland,7
2010/2011,Primar Unterstufe,Egnach VSG,männlich,Schweiz,68
2010/2011,Primar Unterstufe,Egnach VSG,weiblich,Ausland,9
2010/2011,Primar Unterstufe,Egnach VSG,weiblich,Schweiz,59
2010/2011,Primar Unterstufe,Erlen VSG,männlich,Ausland,16
2010/2011,Primar Unterstufe,Erlen VSG,männlich,Schweiz,47
2010/2011,Primar Unterstufe,Erlen VSG,weiblich,Ausland,16
2010/2011,Primar Unterstufe,Erlen VSG,weiblich,Schweiz,51
2010/2011,Primar Unterstufe,Ermatingen PSG,männlich,Ausland,9
2010/2011,Primar Unterstufe,Ermatingen PSG,männlich,Schweiz,24
2010/2011,Primar Unterstufe,Ermatingen PSG,weiblich,Ausland,5
2010/2011,Primar Unterstufe,Ermatingen PSG,weiblich,Schweiz,36
2010/2011,Primar Unterstufe,Eschenz PSG,männlich,Ausland,6
2010/2011,Primar Unterstufe,Eschenz PSG,männlich,Schweiz,25
2010/2011,Primar Unterstufe,Eschenz PSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Eschenz PSG,weiblich,Schweiz,18
2010/2011,Primar Unterstufe,Eschlikon VSG,männlich,Ausland,12
2010/2011,Primar Unterstufe,Eschlikon VSG,männlich,Schweiz,87
2010/2011,Primar Unterstufe,Eschlikon VSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Eschlikon VSG,weiblich,Schweiz,56
2010/2011,Primar Unterstufe,Felben-Wellhausen PSG,männlich,Ausland,8
2010/2011,Primar Unterstufe,Felben-Wellhausen PSG,männlich,Schweiz,36
2010/2011,Primar Unterstufe,Felben-Wellhausen PSG,weiblich,Ausland,9
2010/2011,Primar Unterstufe,Felben-Wellhausen PSG,weiblich,Schweiz,37
2010/2011,Primar Unterstufe,Fischingen VSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Fischingen VSG,männlich,Schweiz,43
2010/2011,Primar Unterstufe,Fischingen VSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Fischingen VSG,weiblich,Schweiz,44
2010/2011,Primar Unterstufe,Frasnacht PSG,männlich,Ausland,3
2010/2011,Primar Unterstufe,Frasnacht PSG,männlich,Schweiz,18
2010/2011,Primar Unterstufe,Frasnacht PSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Frasnacht PSG,weiblich,Schweiz,9
2010/2011,Primar Unterstufe,Frauenfeld PSG,männlich,Ausland,94
2010/2011,Primar Unterstufe,Frauenfeld PSG,männlich,Schweiz,242
2010/2011,Primar Unterstufe,Frauenfeld PSG,weiblich,Ausland,97
2010/2011,Primar Unterstufe,Frauenfeld PSG,weiblich,Schweiz,218
2010/2011,Primar Unterstufe,Freidorf-Watt PSG,männlich,Schweiz,32
2010/2011,Primar Unterstufe,Freidorf-Watt PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Freidorf-Watt PSG,weiblich,Schweiz,32
2010/2011,Primar Unterstufe,Gachnang PSG,männlich,Ausland,6
2010/2011,Primar Unterstufe,Gachnang PSG,männlich,Schweiz,50
2010/2011,Primar Unterstufe,Gachnang PSG,weiblich,Ausland,5
2010/2011,Primar Unterstufe,Gachnang PSG,weiblich,Schweiz,67
2010/2011,Primar Unterstufe,Götighofen PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Götighofen PSG,männlich,Schweiz,2
2010/2011,Primar Unterstufe,Götighofen PSG,weiblich,Schweiz,11
2010/2011,Primar Unterstufe,Gündelhart-Hörhausen PSG,männlich,Schweiz,12
2010/2011,Primar Unterstufe,Gündelhart-Hörhausen PSG,weiblich,Schweiz,12
2010/2011,Primar Unterstufe,Güttingen PSG,männlich,Ausland,5
2010/2011,Primar Unterstufe,Güttingen PSG,männlich,Schweiz,30
2010/2011,Primar Unterstufe,Güttingen PSG,weiblich,Ausland,3
2010/2011,Primar Unterstufe,Güttingen PSG,weiblich,Schweiz,21
2010/2011,Primar Unterstufe,Herdern-Dettighofen PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Herdern-Dettighofen PSG,männlich,Schweiz,20
2010/2011,Primar Unterstufe,Herdern-Dettighofen PSG,weiblich,Ausland,3
2010/2011,Primar Unterstufe,Herdern-Dettighofen PSG,weiblich,Schweiz,19
2010/2011,Primar Unterstufe,Homburg-Hörstetten PSG,männlich,Schweiz,12
2010/2011,Primar Unterstufe,Homburg-Hörstetten PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Homburg-Hörstetten PSG,weiblich,Schweiz,16
2010/2011,Primar Unterstufe,Horn VSG,männlich,Ausland,8
2010/2011,Primar Unterstufe,Horn VSG,männlich,Schweiz,23
2010/2011,Primar Unterstufe,Horn VSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Horn VSG,weiblich,Schweiz,30
2010/2011,Primar Unterstufe,Hüttlingen PSG,männlich,Ausland,3
2010/2011,Primar Unterstufe,Hüttlingen PSG,männlich,Schweiz,11
2010/2011,Primar Unterstufe,Hüttlingen PSG,weiblich,Schweiz,17
2010/2011,Primar Unterstufe,Hüttwilen PSG,männlich,Schweiz,11
2010/2011,Primar Unterstufe,Hüttwilen PSG,weiblich,Schweiz,19
2010/2011,Primar Unterstufe,Kemmental VSG,männlich,Ausland,5
2010/2011,Primar Unterstufe,Kemmental VSG,männlich,Schweiz,35
2010/2011,Primar Unterstufe,Kemmental VSG,weiblich,Ausland,6
2010/2011,Primar Unterstufe,Kemmental VSG,weiblich,Schweiz,25
2010/2011,Primar Unterstufe,Kesswil PSG,männlich,Ausland,3
2010/2011,Primar Unterstufe,Kesswil PSG,männlich,Schweiz,10
2010/2011,Primar Unterstufe,Kesswil PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Kesswil PSG,weiblich,Schweiz,11
2010/2011,Primar Unterstufe,Kreuzlingen PSG,männlich,Ausland,127
2010/2011,Primar Unterstufe,Kreuzlingen PSG,männlich,Schweiz,121
2010/2011,Primar Unterstufe,Kreuzlingen PSG,weiblich,Ausland,126
2010/2011,Primar Unterstufe,Kreuzlingen PSG,weiblich,Schweiz,98
2010/2011,Primar Unterstufe,Kt. St. Gallen,männlich,Schweiz,1
2010/2011,Primar Unterstufe,Kt. St. Gallen,weiblich,Schweiz,2
2010/2011,Primar Unterstufe,Langrickenbach PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Langrickenbach PSG,männlich,Schweiz,20
2010/2011,Primar Unterstufe,Langrickenbach PSG,weiblich,Ausland,5
2010/2011,Primar Unterstufe,Langrickenbach PSG,weiblich,Schweiz,18
2010/2011,Primar Unterstufe,Lauchetal PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Lauchetal PSG,männlich,Schweiz,19
2010/2011,Primar Unterstufe,Lauchetal PSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Lauchetal PSG,weiblich,Schweiz,23
2010/2011,Primar Unterstufe,Lommis PSG,männlich,Ausland,2
2010/2011,Primar Unterstufe,Lommis PSG,männlich,Schweiz,22
2010/2011,Primar Unterstufe,Lommis PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Lommis PSG,weiblich,Schweiz,18
2010/2011,Primar Unterstufe,Mammern PG,männlich,Ausland,6
2010/2011,Primar Unterstufe,Mammern PG,männlich,Schweiz,4
2010/2011,Primar Unterstufe,Mammern PG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Mammern PG,weiblich,Schweiz,3
2010/2011,Primar Unterstufe,Märstetten PSG,männlich,Ausland,6
2010/2011,Primar Unterstufe,Märstetten PSG,männlich,Schweiz,26
2010/2011,Primar Unterstufe,Märstetten PSG,weiblich,Ausland,3
2010/2011,Primar Unterstufe,Märstetten PSG,weiblich,Schweiz,21
2010/2011,Primar Unterstufe,Matzingen PSG,männlich,Ausland,10
2010/2011,Primar Unterstufe,Matzingen PSG,männlich,Schweiz,34
2010/2011,Primar Unterstufe,Matzingen PSG,weiblich,Ausland,13
2010/2011,Primar Unterstufe,Matzingen PSG,weiblich,Schweiz,22
2010/2011,Primar Unterstufe,Müllheim PSG,männlich,Ausland,7
2010/2011,Primar Unterstufe,Müllheim PSG,männlich,Schweiz,47
2010/2011,Primar Unterstufe,Müllheim PSG,weiblich,Ausland,7
2010/2011,Primar Unterstufe,Müllheim PSG,weiblich,Schweiz,42
2010/2011,Primar Unterstufe,Münchwilen VSG,männlich,Ausland,25
2010/2011,Primar Unterstufe,Münchwilen VSG,männlich,Schweiz,84
2010/2011,Primar Unterstufe,Münchwilen VSG,weiblich,Ausland,12
2010/2011,Primar Unterstufe,Münchwilen VSG,weiblich,Schweiz,63
2010/2011,Primar Unterstufe,Münsterlingen PSG,männlich,Ausland,11
2010/2011,Primar Unterstufe,Münsterlingen PSG,männlich,Schweiz,21
2010/2011,Primar Unterstufe,Münsterlingen PSG,weiblich,Ausland,14
2010/2011,Primar Unterstufe,Münsterlingen PSG,weiblich,Schweiz,23
2010/2011,Primar Unterstufe,Neunforn PSG,männlich,Ausland,4
2010/2011,Primar Unterstufe,Neunforn PSG,männlich,Schweiz,12
2010/2011,Primar Unterstufe,Neunforn PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Neunforn PSG,weiblich,Schweiz,9
2010/2011,Primar Unterstufe,Nollen VSG,männlich,Ausland,4
2010/2011,Primar Unterstufe,Nollen VSG,männlich,Schweiz,56
2010/2011,Primar Unterstufe,Nollen VSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Nollen VSG,weiblich,Schweiz,46
2010/2011,Primar Unterstufe,Nussbaumen PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Nussbaumen PSG,männlich,Schweiz,8
2010/2011,Primar Unterstufe,Nussbaumen PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Nussbaumen PSG,weiblich,Schweiz,7
2010/2011,Primar Unterstufe,Oberhofen-Lengwil PSG,männlich,Ausland,6
2010/2011,Primar Unterstufe,Oberhofen-Lengwil PSG,männlich,Schweiz,15
2010/2011,Primar Unterstufe,Oberhofen-Lengwil PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Oberhofen-Lengwil PSG,weiblich,Schweiz,10
2010/2011,Primar Unterstufe,Ottoberg PSG,männlich,Schweiz,7
2010/2011,Primar Unterstufe,Ottoberg PSG,weiblich,Schweiz,21
2010/2011,Primar Unterstufe,Pfyn PSG,männlich,Ausland,3
2010/2011,Primar Unterstufe,Pfyn PSG,männlich,Schweiz,19
2010/2011,Primar Unterstufe,Pfyn PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Pfyn PSG,weiblich,Schweiz,27
2010/2011,Primar Unterstufe,Regio Märwil PSG,männlich,Ausland,2
2010/2011,Primar Unterstufe,Regio Märwil PSG,männlich,Schweiz,26
2010/2011,Primar Unterstufe,Regio Märwil PSG,weiblich,Schweiz,29
2010/2011,Primar Unterstufe,Rickenbach PSG,männlich,Ausland,17
2010/2011,Primar Unterstufe,Rickenbach PSG,männlich,Schweiz,19
2010/2011,Primar Unterstufe,Rickenbach PSG,weiblich,Ausland,16
2010/2011,Primar Unterstufe,Rickenbach PSG,weiblich,Schweiz,15
2010/2011,Primar Unterstufe,Roggwil PSG,männlich,Ausland,2
2010/2011,Primar Unterstufe,Roggwil PSG,männlich,Schweiz,20
2010/2011,Primar Unterstufe,Roggwil PSG,weiblich,Schweiz,20
2010/2011,Primar Unterstufe,Romanshorn PSG,männlich,Ausland,66
2010/2011,Primar Unterstufe,Romanshorn PSG,männlich,Schweiz,99
2010/2011,Primar Unterstufe,Romanshorn PSG,weiblich,Ausland,58
2010/2011,Primar Unterstufe,Romanshorn PSG,weiblich,Schweiz,73
2010/2011,Primar Unterstufe,Salenstein PG,männlich,Ausland,2
2010/2011,Primar Unterstufe,Salenstein PG,männlich,Schweiz,5
2010/2011,Primar Unterstufe,Salenstein PG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Salenstein PG,weiblich,Schweiz,12
2010/2011,Primar Unterstufe,Salmsach PG,männlich,Ausland,5
2010/2011,Primar Unterstufe,Salmsach PG,männlich,Schweiz,16
2010/2011,Primar Unterstufe,Salmsach PG,weiblich,Ausland,3
2010/2011,Primar Unterstufe,Salmsach PG,weiblich,Schweiz,14
2010/2011,Primar Unterstufe,Schönenberg-Kradolf PSG,männlich,Ausland,9
2010/2011,Primar Unterstufe,Schönenberg-Kradolf PSG,männlich,Schweiz,21
2010/2011,Primar Unterstufe,Schönenberg-Kradolf PSG,weiblich,Ausland,10
2010/2011,Primar Unterstufe,Schönenberg-Kradolf PSG,weiblich,Schweiz,25
2010/2011,Primar Unterstufe,Sirnach VSG,männlich,Ausland,40
2010/2011,Primar Unterstufe,Sirnach VSG,männlich,Schweiz,85
2010/2011,Primar Unterstufe,Sirnach VSG,weiblich,Ausland,25
2010/2011,Primar Unterstufe,Sirnach VSG,weiblich,Schweiz,80
2010/2011,Primar Unterstufe,Stachen PSG,männlich,Ausland,5
2010/2011,Primar Unterstufe,Stachen PSG,männlich,Schweiz,9
2010/2011,Primar Unterstufe,Stachen PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Stachen PSG,weiblich,Schweiz,10
2010/2011,Primar Unterstufe,Steckborn PSG,männlich,Ausland,9
2010/2011,Primar Unterstufe,Steckborn PSG,männlich,Schweiz,46
2010/2011,Primar Unterstufe,Steckborn PSG,weiblich,Ausland,9
2010/2011,Primar Unterstufe,Steckborn PSG,weiblich,Schweiz,36
2010/2011,Primar Unterstufe,Stettfurt PSG,männlich,Schweiz,27
2010/2011,Primar Unterstufe,Stettfurt PSG,weiblich,Schweiz,28
2010/2011,Primar Unterstufe,Sulgen PSG,männlich,Ausland,15
2010/2011,Primar Unterstufe,Sulgen PSG,männlich,Schweiz,43
2010/2011,Primar Unterstufe,Sulgen PSG,weiblich,Ausland,23
2010/2011,Primar Unterstufe,Sulgen PSG,weiblich,Schweiz,33
2010/2011,Primar Unterstufe,Tägerwilen VSG,männlich,Ausland,16
2010/2011,Primar Unterstufe,Tägerwilen VSG,männlich,Schweiz,51
2010/2011,Primar Unterstufe,Tägerwilen VSG,weiblich,Ausland,20
2010/2011,Primar Unterstufe,Tägerwilen VSG,weiblich,Schweiz,44
2010/2011,Primar Unterstufe,Thundorf PSG,männlich,Ausland,2
2010/2011,Primar Unterstufe,Thundorf PSG,männlich,Schweiz,15
2010/2011,Primar Unterstufe,Thundorf PSG,weiblich,Schweiz,12
2010/2011,Primar Unterstufe,Tobel-Tägerschen PG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Tobel-Tägerschen PG,männlich,Schweiz,17
2010/2011,Primar Unterstufe,Tobel-Tägerschen PG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Tobel-Tägerschen PG,weiblich,Schweiz,24
2010/2011,Primar Unterstufe,Uesslingen-Buch PSG,männlich,Schweiz,17
2010/2011,Primar Unterstufe,Uesslingen-Buch PSG,weiblich,Schweiz,20
2010/2011,Primar Unterstufe,Uttwil PSG,männlich,Ausland,4
2010/2011,Primar Unterstufe,Uttwil PSG,männlich,Schweiz,35
2010/2011,Primar Unterstufe,Uttwil PSG,weiblich,Ausland,3
2010/2011,Primar Unterstufe,Uttwil PSG,weiblich,Schweiz,22
2010/2011,Primar Unterstufe,Wagenhausen-Kaltenbach PSG,männlich,Ausland,4
2010/2011,Primar Unterstufe,Wagenhausen-Kaltenbach PSG,männlich,Schweiz,17
2010/2011,Primar Unterstufe,Wagenhausen-Kaltenbach PSG,weiblich,Ausland,6
2010/2011,Primar Unterstufe,Wagenhausen-Kaltenbach PSG,weiblich,Schweiz,19
2010/2011,Primar Unterstufe,Wängi VSG,männlich,Ausland,18
2010/2011,Primar Unterstufe,Wängi VSG,männlich,Schweiz,77
2010/2011,Primar Unterstufe,Wängi VSG,weiblich,Ausland,10
2010/2011,Primar Unterstufe,Wängi VSG,weiblich,Schweiz,58
2010/2011,Primar Unterstufe,Warth-Weiningen PSG,männlich,Ausland,1
2010/2011,Primar Unterstufe,Warth-Weiningen PSG,männlich,Schweiz,17
2010/2011,Primar Unterstufe,Warth-Weiningen PSG,weiblich,Ausland,1
2010/2011,Primar Unterstufe,Warth-Weiningen PSG,weiblich,Schweiz,21
2010/2011,Primar Unterstufe,Weinfelden PSG,männlich,Ausland,32
2010/2011,Primar Unterstufe,Weinfelden PSG,männlich,Schweiz,115
2010/2011,Primar Unterstufe,Weinfelden PSG,weiblich,Ausland,40
2010/2011,Primar Unterstufe,Weinfelden PSG,weiblich,Schweiz,92
2010/2011,Primar Unterstufe,Wigoltingen VSG,männlich,Ausland,10
2010/2011,Primar Unterstufe,Wigoltingen VSG,männlich,Schweiz,51
2010/2011,Primar Unterstufe,Wigoltingen VSG,weiblich,Ausland,4
2010/2011,Primar Unterstufe,Wigoltingen VSG,weiblich,Schweiz,33
2010/2011,Primar Unterstufe,Wilen bei Wil PSG,männlich,Schweiz,41
2010/2011,Primar Unterstufe,Wilen bei Wil PSG,weiblich,Ausland,2
2010/2011,Primar Unterstufe,Wilen bei Wil PSG,weiblich,Schweiz,44
2010/2011,Sekundarstufe I,Aadorf VSG,männlich,Ausland,20
2010/2011,Sekundarstufe I,Aadorf VSG,männlich,Schweiz,100
2010/2011,Sekundarstufe I,Aadorf VSG,weiblich,Ausland,22
2010/2011,Sekundarstufe I,Aadorf VSG,weiblich,Schweiz,116
2010/2011,Sekundarstufe I,Affeltrangen SSG,männlich,Ausland,7
2010/2011,Sekundarstufe I,Affeltrangen SSG,männlich,Schweiz,151
2010/2011,Sekundarstufe I,Affeltrangen SSG,weiblich,Ausland,8
2010/2011,Sekundarstufe I,Affeltrangen SSG,weiblich,Schweiz,135
2010/2011,Sekundarstufe I,Altnau SSG,männlich,Ausland,21
2010/2011,Sekundarstufe I,Altnau SSG,männlich,Schweiz,119
2010/2011,Sekundarstufe I,Altnau SSG,weiblich,Ausland,24
2010/2011,Sekundarstufe I,Altnau SSG,weiblich,Schweiz,106
2010/2011,Sekundarstufe I,Amriswil VSG,männlich,Ausland,87
2010/2011,Sekundarstufe I,Amriswil VSG,männlich,Schweiz,165
2010/2011,Sekundarstufe I,Amriswil VSG,weiblich,Ausland,75
2010/2011,Sekundarstufe I,Amriswil VSG,weiblich,Schweiz,184
2010/2011,Sekundarstufe I,Arbon SSG,männlich,Ausland,85
2010/2011,Sekundarstufe I,Arbon SSG,männlich,Schweiz,234
2010/2011,Sekundarstufe I,Arbon SSG,weiblich,Ausland,70
2010/2011,Sekundarstufe I,Arbon SSG,weiblich,Schweiz,213
2010/2011,Sekundarstufe I,Berg-Birwinken VSG,männlich,Ausland,5
2010/2011,Sekundarstufe I,Berg-Birwinken VSG,männlich,Schweiz,78
2010/2011,Sekundarstufe I,Berg-Birwinken VSG,weiblich,Ausland,4
2010/2011,Sekundarstufe I,Berg-Birwinken VSG,weiblich,Schweiz,85
2010/2011,Sekundarstufe I,Bichelsee-Balterswil VSG,männlich,Ausland,3
2010/2011,Sekundarstufe I,Bichelsee-Balterswil VSG,männlich,Schweiz,48
2010/2011,Sekundarstufe I,Bichelsee-Balterswil VSG,weiblich,Ausland,2
2010/2011,Sekundarstufe I,Bichelsee-Balterswil VSG,weiblich,Schweiz,48
2010/2011,Sekundarstufe I,Bischofszell VSG,männlich,Ausland,31
2010/2011,Sekundarstufe I,Bischofszell VSG,männlich,Schweiz,182
2010/2011,Sekundarstufe I,Bischofszell VSG,weiblich,Ausland,29
2010/2011,Sekundarstufe I,Bischofszell VSG,weiblich,Schweiz,156
2010/2011,Sekundarstufe I,Bürglen VSG,männlich,Ausland,27
2010/2011,Sekundarstufe I,Bürglen VSG,männlich,Schweiz,81
2010/2011,Sekundarstufe I,Bürglen VSG,weiblich,Ausland,16
2010/2011,Sekundarstufe I,Bürglen VSG,weiblich,Schweiz,55
2010/2011,Sekundarstufe I,Diessenhofen VSG,männlich,Ausland,34
2010/2011,Sekundarstufe I,Diessenhofen VSG,männlich,Schweiz,104
2010/2011,Sekundarstufe I,Diessenhofen VSG,weiblich,Ausland,28
2010/2011,Sekundarstufe I,Diessenhofen VSG,weiblich,Schweiz,73
2010/2011,Sekundarstufe I,Dozwil-Kesswil-Uttwil SSG,männlich,Ausland,7
2010/2011,Sekundarstufe I,Dozwil-Kesswil-Uttwil SSG,männlich,Schweiz,49
2010/2011,Sekundarstufe I,Dozwil-Kesswil-Uttwil SSG,weiblich,Ausland,9
2010/2011,Sekundarstufe I,Dozwil-Kesswil-Uttwil SSG,weiblich,Schweiz,47
2010/2011,Sekundarstufe I,Egnach VSG,männlich,Ausland,10
2010/2011,Sekundarstufe I,Egnach VSG,männlich,Schweiz,66
2010/2011,Sekundarstufe I,Egnach VSG,weiblich,Ausland,8
2010/2011,Sekundarstufe I,Egnach VSG,weiblich,Schweiz,69
2010/2011,Sekundarstufe I,Erlen VSG,männlich,Ausland,13
2010/2011,Sekundarstufe I,Erlen VSG,männlich,Schweiz,84
2010/2011,Sekundarstufe I,Erlen VSG,weiblich,Ausland,13
2010/2011,Sekundarstufe I,Erlen VSG,weiblich,Schweiz,57
2010/2011,Sekundarstufe I,Ermatingen SSG,männlich,Ausland,10
2010/2011,Sekundarstufe I,Ermatingen SSG,männlich,Schweiz,46
2010/2011,Sekundarstufe I,Ermatingen SSG,weiblich,Ausland,13
2010/2011,Sekundarstufe I,Ermatingen SSG,weiblich,Schweiz,45
2010/2011,Sekundarstufe I,Eschenz SSG,männlich,Ausland,11
2010/2011,Sekundarstufe I,Eschenz SSG,männlich,Schweiz,41
2010/2011,Sekundarstufe I,Eschenz SSG,weiblich,Ausland,8
2010/2011,Sekundarstufe I,Eschenz SSG,weiblich,Schweiz,37
2010/2011,Sekundarstufe I,Eschlikon VSG,männlich,Ausland,14
2010/2011,Sekundarstufe I,Eschlikon VSG,männlich,Schweiz,47
2010/2011,Sekundarstufe I,Eschlikon VSG,weiblich,Ausland,4
2010/2011,Sekundarstufe I,Eschlikon VSG,weiblich,Schweiz,49
2010/2011,Sekundarstufe I,Fischingen VSG,männlich,Ausland,1
2010/2011,Sekundarstufe I,Fischingen VSG,männlich,Schweiz,46
2010/2011,Sekundarstufe I,Fischingen VSG,weiblich,Ausland,2
2010/2011,Sekundarstufe I,Fischingen VSG,weiblich,Schweiz,43
2010/2011,Sekundarstufe I,Frauenfeld SSG,männlich,Ausland,96
2010/2011,Sekundarstufe I,Frauenfeld SSG,männlich,Schweiz,397
2010/2011,Sekundarstufe I,Frauenfeld SSG,weiblich,Ausland,107
2010/2011,Sekundarstufe I,Frauenfeld SSG,weiblich,Schweiz,389
2010/2011,Sekundarstufe I,Halingen SSG,männlich,Ausland,3
2010/2011,Sekundarstufe I,Halingen SSG,männlich,Schweiz,93
2010/2011,Sekundarstufe I,Halingen SSG,weiblich,Ausland,9
2010/2011,Sekundarstufe I,Halingen SSG,weiblich,Schweiz,77
2010/2011,Sekundarstufe I,Horn VSG,männlich,Ausland,5
2010/2011,Sekundarstufe I,Horn VSG,männlich,Schweiz,37
2010/2011,Sekundarstufe I,Horn VSG,weiblich,Ausland,3
2010/2011,Sekundarstufe I,Horn VSG,weiblich,Schweiz,40
2010/2011,Sekundarstufe I,Hüttwilen SSG,männlich,Ausland,4
2010/2011,Sekundarstufe I,Hüttwilen SSG,männlich,Schweiz,73
2010/2011,Sekundarstufe I,Hüttwilen SSG,weiblich,Ausland,8
2010/2011,Sekundarstufe I,Hüttwilen SSG,weiblich,Schweiz,80
2010/2011,Sekundarstufe I,Kemmental VSG,männlich,Ausland,4
2010/2011,Sekundarstufe I,Kemmental VSG,männlich,Schweiz,67
2010/2011,Sekundarstufe I,Kemmental VSG,weiblich,Ausland,6
2010/2011,Sekundarstufe I,Kemmental VSG,weiblich,Schweiz,49
2010/2011,Sekundarstufe I,Kreuzlingen SSG,männlich,Ausland,109
2010/2011,Sekundarstufe I,Kreuzlingen SSG,männlich,Schweiz,148
2010/2011,Sekundarstufe I,Kreuzlingen SSG,weiblich,Ausland,139
2010/2011,Sekundarstufe I,Kreuzlingen SSG,weiblich,Schweiz,150
2010/2011,Sekundarstufe I,Kt. Schaffhausen,männlich,Schweiz,2
2010/2011,Sekundarstufe I,Kt. St. Gallen,männlich,Ausland,1
2010/2011,Sekundarstufe I,Kt. St. Gallen,männlich,Schweiz,17
2010/2011,Sekundarstufe I,Kt. St. Gallen,weiblich,Ausland,3
2010/2011,Sekundarstufe I,Kt. St. Gallen,weiblich,Schweiz,6
2010/2011,Sekundarstufe I,Kt. Zürich,männlich,Schweiz,6
2010/2011,Sekundarstufe I,Kt. Zürich,weiblich,Schweiz,3
2010/2011,Sekundarstufe I,Müllheim SSG,männlich,Ausland,9
2010/2011,Sekundarstufe I,Müllheim SSG,männlich,Schweiz,90
2010/2011,Sekundarstufe I,Müllheim SSG,weiblich,Ausland,9
2010/2011,Sekundarstufe I,Müllheim SSG,weiblich,Schweiz,94
2010/2011,Sekundarstufe I,Münchwilen VSG,männlich,Ausland,14
2010/2011,Sekundarstufe I,Münchwilen VSG,männlich,Schweiz,85
2010/2011,Sekundarstufe I,Münchwilen VSG,weiblich,Ausland,15
2010/2011,Sekundarstufe I,Münchwilen VSG,weiblich,Schweiz,83
2010/2011,Sekundarstufe I,Nollen VSG,männlich,Ausland,1
2010/2011,Sekundarstufe I,Nollen VSG,männlich,Schweiz,72
2010/2011,Sekundarstufe I,Nollen VSG,weiblich,Ausland,2
2010/2011,Sekundarstufe I,Nollen VSG,weiblich,Schweiz,54
2010/2011,Sekundarstufe I,Rickenbach SSG,männlich,Ausland,29
2010/2011,Sekundarstufe I,Rickenbach SSG,männlich,Schweiz,91
2010/2011,Sekundarstufe I,Rickenbach SSG,weiblich,Ausland,18
2010/2011,Sekundarstufe I,Rickenbach SSG,weiblich,Schweiz,60
2010/2011,Sekundarstufe I,Romanshorn-Salmsach SSG,männlich,Ausland,46
2010/2011,Sekundarstufe I,Romanshorn-Salmsach SSG,männlich,Schweiz,122
2010/2011,Sekundarstufe I,Romanshorn-Salmsach SSG,weiblich,Ausland,56
2010/2011,Sekundarstufe I,Romanshorn-Salmsach SSG,weiblich,Schweiz,123
2010/2011,Sekundarstufe I,Sirnach VSG,männlich,Ausland,28
2010/2011,Sekundarstufe I,Sirnach VSG,männlich,Schweiz,84
2010/2011,Sekundarstufe I,Sirnach VSG,weiblich,Ausland,23
2010/2011,Sekundarstufe I,Sirnach VSG,weiblich,Schweiz,88
2010/2011,Sekundarstufe I,Steckborn SSG,männlich,Ausland,16
2010/2011,Sekundarstufe I,Steckborn SSG,männlich,Schweiz,79
2010/2011,Sekundarstufe I,Steckborn SSG,weiblich,Ausland,10
2010/2011,Sekundarstufe I,Steckborn SSG,weiblich,Schweiz,66
2010/2011,Sekundarstufe I,Sulgen SSG,männlich,Ausland,30
2010/2011,Sekundarstufe I,Sulgen SSG,männlich,Schweiz,90
2010/2011,Sekundarstufe I,Sulgen SSG,weiblich,Ausland,26
2010/2011,Sekundarstufe I,Sulgen SSG,weiblich,Schweiz,73
2010/2011,Sekundarstufe I,Tägerwilen VSG,männlich,Ausland,11
2010/2011,Sekundarstufe I,Tägerwilen VSG,männlich,Schweiz,57
2010/2011,Sekundarstufe I,Tägerwilen VSG,weiblich,Ausland,12
2010/2011,Sekundarstufe I,Tägerwilen VSG,weiblich,Schweiz,70
2010/2011,Sekundarstufe I,Wängi VSG,männlich,Ausland,13
